name,url,license,path,bytes,sha256,downloaded_at,rows,note
banglarqa_train,https://huggingface.co/datasets/sartajekram/BanglaRQA/resolve/main/Train.json,CC BY-NC-SA 4.0,data/raw/banglarqa/Train.json,27818012,12baac550a437ecdb45ea8711389356caf3b80d75397273585389308357dae0f,2026-09-18T09:33:20,11912,2400 passages
banglarqa_val,https://huggingface.co/datasets/sartajekram/BanglaRQA/resolve/main/Validation.json,CC BY-NC-SA 4.0,data/raw/banglarqa/Validation.json,3493591,d56e0e5c162d9634dd1eeb9e81b655dfb6daccc7bbe180e46140acb529aa0849,2026-09-18T09:33:21,1484,300 passages
banglarqa_test,https://huggingface.co/datasets/sartajekram/BanglaRQA/resolve/main/Test.json,CC BY-NC-SA 4.0,data/raw/banglarqa/Test.json,3603506,5b2e8a326aadece4d50a6715a0ed1fca1d2910f6c723f84c6aa375c8c9b62562,2026-09-18T09:33:22,1493,300 passages
nctb_schooltext,https://data.mendeley.com/public-files/datasets/f3882ccczp/files/54e66048-5d2b-47a0-a489-a0b104119476/file_downloaded,CC BY 4.0,data/raw/nctb_schooltext/NCTB-SchoolText.zip,12202106,10ce1f2d8b40b6cf600a067b9916e042a386c0e52d881dc518442b6376665b31,2026-09-18T09:33:30,43359,"1535 chapters, grade groups 6,7,8,9-10,filtered"
wiki_bn_00,https://huggingface.co/datasets/wikimedia/wikipedia/resolve/main/20231101.bn/train-00000-of-00002.parquet,CC BY-SA 4.0,data/raw/wiki/train-00000-of-00002.parquet,192390559,98a8189cf1d0e4b41d647b3d88bd6201e571e002344b5648496c6bfda402841b,2026-09-18T09:34:30,,
bangla_textbook,https://huggingface.co/datasets/md-nishat-008/Bangla-TextBook/resolve/main/bangla_textbook_128w_cleaned.csv,MIT,data/raw/bangla_textbook/bangla_textbook_128w_cleaned.csv,188650371,75a677676937b922a1066271d21fce1904e6132222d67d5aad2dede0e6d28c1e,2026-09-18T09:35:12,40000,no chapter metadata; capped
