k1,b,recall@5,mrr@10,config_hash,seed
0.9,0.3,0.8908,0.8185,773e1b820203,1337
0.9,0.5,0.8875,0.8176,773e1b820203,1337
0.9,0.75,0.8814,0.813,773e1b820203,1337
0.9,0.9,0.8733,0.8048,773e1b820203,1337
1.2,0.3,0.8868,0.8142,773e1b820203,1337
1.2,0.5,0.8848,0.8149,773e1b820203,1337
1.2,0.75,0.878,0.8076,773e1b820203,1337
1.2,0.9,0.8679,0.7988,773e1b820203,1337
1.5,0.3,0.8854,0.812,773e1b820203,1337
1.5,0.5,0.8834,0.8129,773e1b820203,1337
1.5,0.75,0.8774,0.801,773e1b820203,1337
1.5,0.9,0.8652,0.7904,773e1b820203,1337
2.0,0.3,0.8821,0.8042,773e1b820203,1337
2.0,0.5,0.8841,0.801,773e1b820203,1337
2.0,0.75,0.8726,0.788,773e1b820203,1337
2.0,0.9,0.8639,0.7749,773e1b820203,1337
