bin_lo,bin_hi,n,mean_confidence,empirical_accuracy,config_hash,seed
0.0,0.1,65,0.0575,0.1077,773e1b820203,1337
0.1,0.2,124,0.155,0.0403,773e1b820203,1337
0.2,0.3,125,0.2386,0.216,773e1b820203,1337
0.3,0.4,44,0.3505,0.3182,773e1b820203,1337
0.4,0.5,15,0.4508,0.4,773e1b820203,1337
0.5,0.6,10,0.5474,0.3,773e1b820203,1337
0.6,0.7,11,0.638,0.3636,773e1b820203,1337
0.7,0.8,0,,,773e1b820203,1337
0.8,0.9,1,0.8217,1.0,773e1b820203,1337
0.9,1.0,5,0.9595,0.4,773e1b820203,1337
