policy,rc_auc,risk_at_full_coverage,risk_at_50pct_coverage,risk_at_80pct_coverage,config_hash,seed
b_fused,0.7153,0.8275,0.7313,0.8063,773e1b820203,1337
c_fused_veto,0.7153,0.8275,0.7313,0.8063,773e1b820203,1337
a_reader_only,0.7606,0.8275,0.7711,0.8,773e1b820203,1337
d_conformal(test),0.6841,0.8105,0.7243,0.7806,773e1b820203,1337
b_fused(test),0.6841,0.8105,0.7243,0.7806,773e1b820203,1337
