retriever,n_queries,recall@1,recall@5,recall@10,mrr@10,ndcg@10,found@10,arm,index_size,passages,bm25_k1,bm25_b,config_hash,seed
bm25,1484,0.7493261455525606,0.878032345013477,0.9117250673854448,0.8076410281093573,0.8330124180704392,0.9117250673854448,bm25/full,50000,50000,1.2,0.75,773e1b820203,1337
bm25,1484,0.7648247978436657,0.8915094339622641,0.9211590296495957,0.8218438476019337,0.8461146344434823,0.9211590296495957,bm25/gold+wiki,50000,30000,1.2,0.75,773e1b820203,1337
