k,silhouette,inertia,config_hash,seed
5,0.0332,887.92,e696128368de,1337
8,0.0399,847.01,e696128368de,1337
12,0.0392,798.55,e696128368de,1337
16,0.0435,766.54,e696128368de,1337
20,0.0535,735.62,e696128368de,1337
