arm,n,accuracy,mean_confidence,ece,ace,brier,auroc_conf_vs_correct,config_hash,seed
val(calibrated),400,0.1725,0.2325,0.0736,0.0779,0.138,0.7268,773e1b820203,1337
test(calibrated),797,0.1895,0.2289,0.0498,0.0556,0.1419,0.7142,773e1b820203,1337
