k,silhouette,inertia,config_hash,seed
5,0.0024,7867.03,773e1b820203,1337
8,0.0029,7841.22,773e1b820203,1337
12,0.0034,7814.84,773e1b820203,1337
16,0.0035,7789.37,773e1b820203,1337
20,0.005,7765.14,773e1b820203,1337
