feature,weight,rank,config_hash,seed
s1_margin,-2.2662300308823964,1,773e1b820203,1337
s1_null_margin,0.7783531848166001,2,773e1b820203,1337
s1_score,0.4275194512629769,3,773e1b820203,1337
answer_tokens,0.38195642348861014,4,773e1b820203,1337
s5_ensemble,0.348466797726351,5,773e1b820203,1337
s1_passage_rank_inv,0.22683361402115212,6,773e1b820203,1337
s3_support,0.1587398654097628,7,773e1b820203,1337
s1_passage_score,0.1436491464083117,8,773e1b820203,1337
s2_trigram_cos,-0.13950854581281602,9,773e1b820203,1337
year_in_evidence,0.1375934463605634,10,773e1b820203,1337
answer_has_year,0.1375934463605634,11,773e1b820203,1337
s4_consistency,0.137337185224914,12,773e1b820203,1337
s2_veto_fired,-0.12994549555685683,13,773e1b820203,1337
veto_any,-0.12994549555685683,14,773e1b820203,1337
veto_count,-0.12994549555685683,15,773e1b820203,1337
evidence_tokens,-0.12336895539982708,16,773e1b820203,1337
veto_polarity,-0.11976557693860189,17,773e1b820203,1337
polarity_match,-0.10562103712293956,18,773e1b820203,1337
nums_in_evidence,-0.09807746800163983,19,773e1b820203,1337
answer_has_number,-0.09807746800163983,20,773e1b820203,1337
s2_grounding,0.07011750727328414,21,773e1b820203,1337
s1_reader,-0.06239389896760323,22,773e1b820203,1337
veto_numeral,-0.05818816560278855,23,773e1b820203,1337
s2_containment,0.0,24,773e1b820203,1337
s2_literal,0.0,25,773e1b820203,1337
veto_date,0.0,26,773e1b820203,1337
veto_unit,0.0,27,773e1b820203,1337
veto_entity,0.0,28,773e1b820203,1337
veto_relation_order,0.0,29,773e1b820203,1337
