tau,coverage,selective_risk,risk_ucb,answered,errors,feasible,config_hash,seed
0.415,0.1,0.65,0.7512,40,26,False,773e1b820203,1337
0.42,0.095,0.6579,0.7609,38,25,False,773e1b820203,1337
0.425,0.095,0.6579,0.7609,38,25,False,773e1b820203,1337
0.43,0.095,0.6579,0.7609,38,25,False,773e1b820203,1337
0.435,0.09,0.6389,0.7468,36,23,False,773e1b820203,1337
0.44,0.09,0.6389,0.7468,36,23,False,773e1b820203,1337
0.445,0.09,0.6389,0.7468,36,23,False,773e1b820203,1337
0.45,0.0875,0.6286,0.7391,35,22,False,773e1b820203,1337
0.455,0.0825,0.6061,0.7223,33,20,False,773e1b820203,1337
0.46,0.0825,0.6061,0.7223,33,20,False,773e1b820203,1337
0.465,0.0825,0.6061,0.7223,33,20,False,773e1b820203,1337
0.47,0.08,0.5938,0.713,32,19,False,773e1b820203,1337
0.475,0.0775,0.6129,0.7322,31,19,False,773e1b820203,1337
0.48,0.075,0.6333,0.7524,30,19,False,773e1b820203,1337
0.485,0.0725,0.6207,0.7433,29,18,False,773e1b820203,1337
0.49,0.07,0.6429,0.765,28,18,False,773e1b820203,1337
0.495,0.07,0.6429,0.765,28,18,False,773e1b820203,1337
0.5,0.0675,0.6296,0.7557,27,17,False,773e1b820203,1337
0.505,0.0675,0.6296,0.7557,27,17,False,773e1b820203,1337
0.51,0.065,0.6538,0.7791,26,17,False,773e1b820203,1337
0.515,0.0625,0.64,0.7697,25,16,False,773e1b820203,1337
0.52,0.0625,0.64,0.7697,25,16,False,773e1b820203,1337
0.525,0.06,0.625,0.7594,24,15,False,773e1b820203,1337
0.53,0.0575,0.6522,0.7856,23,15,False,773e1b820203,1337
0.535,0.0575,0.6522,0.7856,23,15,False,773e1b820203,1337
0.54,0.0575,0.6522,0.7856,23,15,False,773e1b820203,1337
0.545,0.055,0.6364,0.7752,22,14,False,773e1b820203,1337
0.55,0.055,0.6364,0.7752,22,14,False,773e1b820203,1337
0.555,0.055,0.6364,0.7752,22,14,False,773e1b820203,1337
0.56,0.055,0.6364,0.7752,22,14,False,773e1b820203,1337
0.565,0.0525,0.619,0.7637,21,13,False,773e1b820203,1337
0.57,0.0475,0.6316,0.7817,19,12,False,773e1b820203,1337
0.575,0.045,0.6111,0.7686,18,11,False,773e1b820203,1337
0.58,0.045,0.6111,0.7686,18,11,False,773e1b820203,1337
0.585,0.045,0.6111,0.7686,18,11,False,773e1b820203,1337
0.59,0.045,0.6111,0.7686,18,11,False,773e1b820203,1337
0.595,0.0425,0.5882,0.7539,17,10,False,773e1b820203,1337
0.6,0.0425,0.5882,0.7539,17,10,False,773e1b820203,1337
0.605,0.0425,0.5882,0.7539,17,10,False,773e1b820203,1337
0.61,0.04,0.625,0.7896,16,10,False,773e1b820203,1337
0.615,0.0325,0.6154,0.7995,13,8,False,773e1b820203,1337
0.62,0.0325,0.6154,0.7995,13,8,False,773e1b820203,1337
0.625,0.0325,0.6154,0.7995,13,8,False,773e1b820203,1337
0.63,0.03,0.5833,0.7813,12,7,False,773e1b820203,1337
0.635,0.0275,0.5455,0.7595,11,6,False,773e1b820203,1337
0.64,0.025,0.6,0.8124,10,6,False,773e1b820203,1337
0.645,0.025,0.6,0.8124,10,6,False,773e1b820203,1337
0.65,0.025,0.6,0.8124,10,6,False,773e1b820203,1337
