method,ece,ace,brier,mean_confidence,empirical_accuracy,config_hash,seed
platt,0.0789,0.0762,0.1377,0.2315,0.1725,773e1b820203,1337
isotonic,0.0803,0.0675,0.1395,0.2309,0.1725,773e1b820203,1337
temperature,0.2817,0.2817,0.2197,0.4528,0.1725,773e1b820203,1337
uncalibrated,0.2907,0.2897,0.2206,0.4622,0.1725,773e1b820203,1337
