split,n,accuracy,acc_supported,n_supported,acc_contradicted,n_contradicted,acc_neutral,n_neutral,majority_baseline,config_hash,seed
val,2270,0.9629955947136564,0.9625167336010709,747,0.9505851755526658,769,0.9761273209549072,754,0.3388,773e1b820203,1337
contrast,496,0.9133064516129032,0.967741935483871,62,0.8924731182795699,372,0.9838709677419355,62,0.75,773e1b820203,1337
