retriever,recall@5_10k,recall@5_50k,delta,relative_drop_pct,config_hash,seed
bm25,0.9137,0.8895,-0.0243,2.65,e696128368de,1337
tfidf-word,0.8396,0.7776,-0.062,7.38,e696128368de,1337
tfidf-char,0.8848,0.7951,-0.0896,10.13,e696128368de,1337
rrf(bm25+char),0.9117,0.8767,-0.035,3.84,e696128368de,1337
rrf(bm25+tfidf-word+tfidf-char),0.8935,0.847,-0.0465,5.2,e696128368de,1337
bm25+qe,0.9117,0.8875,-0.0243,2.66,e696128368de,1337
