fusion,auroc,auprc,brier,accuracy@0.5,mean_confidence,config_hash,seed
logreg,0.7268,0.3525,0.2213,0.695,0.4627,773e1b820203,1337
gbdt,0.7257,0.341,0.1333,0.815,0.2048,773e1b820203,1337
naive_bayes,0.5064,0.1745,0.79,0.21,0.9476,773e1b820203,1337
