generator,n,veto_detected,veto_precision,meets_90pct_floor,config_hash,seed
numeral,52,50,0.9615,True,773e1b820203,1337
date,53,52,0.9811,True,773e1b820203,1337
unit,13,13,1.0,True,773e1b820203,1337
entity,234,204,0.8718,False,773e1b820203,1337
polarity,404,402,0.995,True,773e1b820203,1337
relation_order,12,12,1.0,True,773e1b820203,1337
